Current Facility,Race,index,Offense Code,Offense,Severity,Sentence (Years),Gender,Age,Sentence Date,tot
Kyle,B,111,111,111,111,111,111,111,111,359
Kyle,A,1,1,1,1,1,1,1,1,359
Sayle,W,143,143,143,143,143,143,143,143,354
Hospital Galveston,W,137,137,137,137,137,137,137,137,354
Hospital Galveston,B,115,115,115,115,115,115,115,115,354
Sayle,H,112,112,112,112,112,112,112,112,354
Hospital Galveston,H,102,102,102,102,102,102,102,102,354
Sayle,B,98,98,98,98,98,98,98,98,354
Sayle,A,1,1,1,1,1,1,1,1,354
Vance,W,126,126,126,126,126,126,126,126,328
Vance,B,107,107,107,107,107,107,107,107,328
Vance,H,93,93,93,93,93,93,93,93,328
Vance,A,2,2,2,2,2,2,2,2,328
Bartlett,W,140,140,140,140,140,140,140,140,285
Bartlett,H,84,84,84,84,84,84,84,84,285
Bartlett,B,60,60,60,60,60,60,60,60,285
Bartlett,A,1,1,1,1,1,1,1,1,285
Goodman,W,75,75,75,75,75,75,75,75,213
Goodman,B,69,69,69,69,69,69,69,69,213
Goodman,H,66,66,66,66,66,66,66,66,213
Goodman,A,3,3,3,3,3,3,3,3,213
Glossbrenner,H,100,100,100,100,100,100,100,100,201
Glossbrenner,W,51,51,51,51,51,51,51,51,201
Glossbrenner,B,47,47,47,47,47,47,47,47,201
Glossbrenner,A,3,3,3,3,3,3,3,3,201
Baten,H,58,58,58,58,58,58,58,58,137
Baten,W,52,52,52,52,52,52,52,52,137
Baten,B,26,26,26,26,26,26,26,26,137
Baten,A,1,1,1,1,1,1,1,1,137
West Texas Hospital,W,50,50,50,50,50,50,50,50,116
West Texas Hospital,H,34,34,34,34,34,34,34,34,116
West Texas Hospital,B,32,32,32,32,32,32,32,32,116
Henley,W,50,50,50,50,50,50,50,50,75
Henley,H,17,17,17,17,17,17,17,17,75
Henley,B,8,8,8,8,8,8,8,8,75
Santa Maria Baby Bonding,W,11,11,11,11,11,11,11,11,12
Santa Maria Baby Bonding,B,1,1,1,1,1,1,1,1,12
